Wylot,Kraj docelowy,Region docelowy
bydgoszcz,grecja,rodos
bydgoszcz,turcja,antalya
gdansk,cypr,larnaka
gdansk,egipt,hurghada
gdansk,grecja,korfu
gdansk,grecja,kos
gdansk,grecja,zakynthos
gdansk,hiszpania,barcelona
gdansk,tunezja,monastir
gdansk,turcja,bodrum
katowice,grecja,kos
katowice,grecja,zakynthos
katowice,hiszpania,barcelona
katowice,tunezja,monastir
katowice,turcja,antalya
katowice,turcja,bodrum
krakow,cypr,larnaka
krakow,turcja,antalya
lodz,turcja,antalya
poznan,grecja,kos
poznan,turcja,bodrum
rzeszow,grecja,rodos
rzeszow,grecja,zakynthos
warszawa,brazylia,salvador
warszawa,grecja,korfu
warszawa,grecja,rodos
warszawa,grecja,samos
warszawa,grecja,zakynthos
wroclaw,grecja,korfu
wroclaw,grecja,kos
wroclaw,grecja,rodos
wroclaw,grecja,zakynthos
